gene_id	description
LOC726314	"protein SCO2 homolog, mitochondrial"
LOC726315	sphingomyelin phosphodiesterase 1-like
LOC726316	"cytochrome b-c1 complex subunit 6, mitochondrial"
LOC726318	UPF0676 protein C1494.01-like
LOC726319	monocarboxylate transporter 7-like
LOC726320	serpin B3-like
LOC726321	uncharacterized LOC726321
LOC726322	uncharacterized LOC726322
LOC726323	uncharacterized LOC726323
LOC726325	uncharacterized LOC726325
LOC726326	DNA repair protein XRCC3-like
LOC726329	lectizyme
LOC726330	golgin subfamily A member 7
LOC726331	alpha-2 adrenergic receptor
LOC726332	histone acetyltransferase p300-like
LOC726335	protein CBFA2T2
LOC726336	splicing factor 3B subunit 2
LOC726337	mitochondrial intermembrane space import and assembly protein 40-B
LOC726338	nuclear pore complex protein Nup88
LOC726339	protein ELYS
LOC726340	zinc finger MYND domain-containing protein 10-like
LOC726341	ubiquinol-cytochrome-c reductase complex assembly factor 1
LOC726343	uncharacterized LOC726343
LOC726347	uncharacterized LOC726347
LOC726348	peroxisomal biogenesis factor 6
LOC726349	actin-binding LIM protein 2
LOC726350	putative ATP-dependent RNA helicase DHX33
LOC726352	transmembrane protease serine 11B-like protein
LOC726353	uncharacterized LOC726353
LOC726354	serine-rich adhesin for platelets-like
LOC726358	huntingtin
LOC726359	protein SMG8
LOC726361	ufm1-specific protease 1
LOC726362	4-coumarate--CoA ligase 1
LOC726363	diphthamide biosynthesis protein 2
LOC726364	metaxin-2
LOC726365	uncharacterized LOC726365
LOC726367	glycerate kinase-like
LOC726368	zinc finger protein 883-like
LOC726369	"peptidyl-tRNA hydrolase 2, mitochondrial-like"
LOC726370	uncharacterized LOC726370
LOC726371	cysteine dioxygenase type 1
LOC726373	SET and MYND domain-containing protein 4-like
LOC726375	bone morphogenetic protein 2-B
LOC726377	putative mediator of RNA polymerase II transcription subunit 24
LOC726378	anaphase-promoting complex subunit 11-like
LOC726379	putative leucine-rich repeat-containing protein DDB_G0290503
LOC726380	protein-S-isoprenylcysteine O-methyltransferase
LOC726381	neuralized-like protein 4
LOC726382	uncharacterized LOC726382
LOC726383	"NADH dehydrogenase (ubiquinone) complex I, assembly factor 6"
LOC726385	"GTPase Era, mitochondrial"
LOC726387	uncharacterized LOC726387
LOC726389	glycerophosphodiester phosphodiesterase 1
LOC726391	carboxypeptidase B-like
LOC726392	sodium-independent sulfate anion transporter
LOC726393	capa receptor-like GPCR
LOC726394	centrosomal protein of 290 kDa
LOC726397	MAD2L1-binding protein
LOC726399	transcriptional activator protein Pur-beta
LOC726400	forkhead box protein I1-ema-like
LOC726401	ras-specific guanine nucleotide-releasing factor 2-like
LOC726405	serine/threonine-protein kinase PAK mbt
LOC726407	uncharacterized LOC726407
LOC726408	zinc finger protein 706-like
LOC726409	peptidyl-prolyl cis-trans isomerase H
LOC726410	"mannosyl-oligosaccharide alpha-1,2-mannosidase IA-like"
LOC726411	immunoglobulin domain-containing protein oig-1-like
LOC726412	solute carrier family 22 member 8-like
LOC726414	protein windpipe
LOC726415	LIM/homeobox protein Lhx9-like
LOC726416	coiled-coil domain-containing protein 186
LOC726417	uncharacterized LOC726417
LOC726418	flavin-containing monooxygenase FMO GS-OX-like 4
LOC726419	"beta-1,3-galactosyltransferase"
LOC726421	membrane metallo-endopeptidase-like 1
LOC726422	vacuolar protein sorting-associated protein 37A
LOC726423	transient receptor potential cation channel protein painless
LOC726424	metabotropic glutamate receptor
LOC726427	metallo-beta-lactamase domain-containing protein 1
LOC726428	probable RNA-binding protein EIF1AD
LOC726429	uncharacterized LOC726429
LOC726431	uncharacterized LOC726431
LOC726432	rab GTPase-binding effector protein 1
LOC726433	protein eyes shut
LOC726434	DC-STAMP domain-containing protein 2-like
LOC726435	signal recognition particle subunit SRP72
LOC726436	"probable proline--tRNA ligase, mitochondrial"
LOC726437	tctex1 domain-containing protein 2-like
LOC726438	centrosomal protein of 97 kDa
LOC726439	40S ribosomal protein S16
LOC726441	uncharacterized LOC726441
LOC726442	protein SZT2-like
LOC726443	PQ-loop repeat-containing protein 3
LOC726444	ectonucleoside triphosphate diphosphohydrolase 5
LOC726446	uncharacterized LOC726446
LOC726447	histone H2B
LOC726449	homologous-pairing protein 2 homolog
LOC726450	nuclear hormone receptor FTZ-F1
LOC726451	cuticle protein 7
LOC726453	"ATP synthase subunit s, mitochondrial"
LOC726455	mutS protein homolog 4-like
LOC726456	unconventional myosin-Va
LOC726457	flocculation protein FLO11-like
LOC726458	ETS-like protein pointed
LOC726459	odorant receptor 13a-like
LOC726460	spermatogenesis-associated protein 6
LOC726461	SH3 and multiple ankyrin repeat domains protein 1
LOC726462	annulin-like
LOC726463	inositol monophosphatase 2-like
LOC726466	uncharacterized LOC726466
LOC726468	histone H2A-like
LOC726469	lysine-specific histone demethylase 1A
LOC726470	solute carrier organic anion transporter family member 1A5-like
LOC726471	protein msta-like
LOC726472	prohormone-3
LOC726474	snRNA-activating protein complex subunit 1
LOC726476	"alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase"
LOC726478	inhibin beta C chain
LOC726480	"39S ribosomal protein L54, mitochondrial"
LOC726481	inositol monophosphatase 2
LOC726482	ubiquitin carboxyl-terminal hydrolase 20-like
LOC726483	"isoleucine--tRNA ligase, mitochondrial"
LOC726485	facilitated trehalose transporter Tret1-like
LOC726486	uncharacterized LOC726486
LOC726487	histone H2B-like
LOC726488	ubiquitin carboxyl-terminal hydrolase 10
LOC726492	transcription factor MafG
LOC726493	uncharacterized LOC726493
LOC726494	"hydroxymethylglutaryl-CoA lyase, mitochondrial"
LOC726495	protein D2-like
LOC726496	protein lin-37 homolog
LOC726497	autophagy-related protein 2 homolog B
LOC726498	mitochondrial import inner membrane translocase subunit Tim8
LOC726500	eukaryotic translation initiation factor 2 subunit 1
LOC726501	uroporphyrinogen decarboxylase
LOC726504	UPF0609 protein C4orf27
LOC726505	facilitated trehalose transporter Tret1-like
LOC726506	kinesin 14
LOC726508	protein scarlet
LOC726509	protein FRA10AC1
LOC726510	M-phase inducer phosphatase 1-like
LOC726513	ATP-binding cassette sub-family G member 5
LOC726514	adenylate cyclase type 6
LOC726515	uncharacterized protein C11orf70 homolog
LOC726521	transmembrane protein 203
LOC726522	ketohexokinase-like
LOC726523	protein white-like
LOC726524	chromodomain-helicase-DNA-binding protein 7
LOC726525	serine/threonine-protein kinase fused
LOC726527	protein FAM136A-like
LOC726528	nuclear factor interleukin-3-regulated protein
LOC726529	ankyrin repeat domain-containing protein 29
LOC726530	"dimethyladenosine transferase 2, mitochondrial"
LOC726532	sperm flagellar protein 1-like
LOC726535	secretin receptor
LOC726537	probable ATP-dependent RNA helicase DDX27
LOC726538	homeobox protein prophet of Pit-1
LOC726540	DNA (cytosine-5)-methyltransferase PliMCI
LOC726541	protein phosphatase 1 regulatory subunit 12A
LOC726542	histone H3
LOC726543	proline-rich nuclear receptor coactivator 2-like
LOC726544	serine/threonine-protein phosphatase 4 regulatory subunit 1-like
LOC726545	sialin-like
LOC726546	gem-associated protein 7-like
LOC726547	protein abrupt
LOC726548	regulator of G-protein signaling loco
LOC726550	CCAAT/enhancer-binding protein gamma
LOC726551	DNA ligase 4
LOC726552	NEDD8
LOC726553	helix-loop-helix protein 1-like
LOC726554	carboxypeptidase M
LOC726558	low-density lipoprotein receptor-related protein 8-like
LOC726559	uncharacterized LOC726559
LOC726560	putative inorganic phosphate cotransporter
LOC726562	phosphoinositide 3-kinase regulatory subunit 4
LOC726564	uncharacterized LOC726564
LOC726566	WD repeat-containing protein 60
LOC726568	general transcription factor 3C polypeptide 3
LOC726569	mitochondrial import inner membrane translocase subunit Tim21
LOC726570	CWF19-like protein 2
LOC726571	venom acid phosphatase Acph-1-like
LOC726572	leucine-rich repeat-containing protein 15-like
LOC726578	putative inorganic phosphate cotransporter
LOC726579	cleft lip and palate transmembrane protein 1-like protein
LOC726580	nucleolar pre-ribosomal-associated protein 1
LOC726582	prominin-like protein
LOC726583	DNA polymerase eta
LOC726584	syntaxin-1A-like
LOC726585	dihydroceramide fatty acyl 2-hydroxylase FAH2
LOC726586	ATP-dependent RNA helicase DDX24
LOC726587	protein AF-10
LOC726589	dentin matrix acidic phosphoprotein 1-like
LOC726590	3-hydroxyacyl-CoA dehydrogenase type-2-like
LOC726591	coiled-coil domain containing 13-like
LOC726592	mucin-2
LOC726594	class E basic helix-loop-helix protein 23
LOC726595	exocyst complex component 2
LOC726597	zinc finger protein 729
LOC726598	putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16
LOC726599	angiotensin-converting enzyme-like
LOC726600	intraflagellar transport protein 56
LOC726601	transferrin
LOC726602	centrosomal protein of 89 kDa-like
LOC726605	sentrin-specific protease 8-like
LOC726606	protein cycle-like
LOC726608	PHD finger protein 14
LOC726609	N-alpha-acetyltransferase 11
LOC726611	uncharacterized LOC726611
LOC726612	"evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial"
LOC726613	coiled-coil domain-containing protein 113
LOC726615	meiosis-specific nuclear structural protein 1-like
LOC726616	uncharacterized LOC726616
LOC726617	"39S ribosomal protein L48, mitochondrial"
LOC726619	chromatin accessibility complex protein 1
LOC726620	transcription factor BTF3 homolog 4
LOC726625	4-coumarate--CoA ligase 1-like
LOC726626	"methionyl-tRNA formyltransferase, mitochondrial"
LOC726627	"tetratricopeptide repeat protein 19 homolog, mitochondrial-like"
LOC726628	uncharacterized LOC726628
LOC726629	uncharacterized LOC726629
LOC726631	F-box/WD repeat-containing protein 4
LOC726633	trafficking protein particle complex subunit 11
LOC726636	WD repeat-containing and planar cell polarity effector protein fritz
LOC726637	ubiquitin-like modifier-activating enzyme atg7
LOC726638	protein artemis
LOC726639	oxidized low-density lipoprotein receptor 1
LOC726642	DNA repair protein RAD50
LOC726643	formin-like protein 14
LOC726646	probable cytochrome P450 6a13
LOC726647	uncharacterized LOC726647
LOC726648	fas apoptotic inhibitory molecule 1
LOC726649	thioredoxin domain-containing protein 15
LOC726650	uncharacterized LOC726650
LOC726651	Fanconi anemia group I protein
LOC726653	mitochondrial import inner membrane translocase subunit TIM14
LOC726654	T-box protein H15-like
LOC726655	uncharacterized LOC726655
LOC726656	calcium-independent phospholipase A2-gamma-like
LOC726657	transcription cofactor vestigial-like protein 4
LOC726658	uncharacterized LOC726658
LOC726661	uncharacterized LOC726661
LOC726662	complex III assembly factor LYRM7
LOC726664	alpha-tubulin N-acetyltransferase
LOC726666	mediator of RNA polymerase II transcription subunit 28-like
LOC726667	armadillo repeat-containing protein 8-like
LOC726668	Z band alternatively spliced PDZ-motif protein 66
LOC726669	uncharacterized LOC726669
LOC726670	RING finger protein 207-like
LOC726671	uncharacterized LOC726671
LOC726672	uncharacterized LOC726672
LOC726673	"28S ribosomal protein S27, mitochondrial"
LOC726677	uncharacterized LOC726677
LOC726679	protein FAM98B
LOC726680	netrin-1-like
LOC726681	protein cappuccino
LOC726682	"A-kinase anchor protein 10, mitochondrial"
LOC726683	myosin-VIIa
LOC726685	protein AATF
LOC726687	elongation factor 4-like
LOC726688	organic cation transporter protein
LOC726689	prefoldin subunit 1
LOC726690	uncharacterized LOC726690
LOC726692	histone H3.3
LOC726694	uncharacterized LOC726694
LOC726695	uncharacterized LOC726695
LOC726696	uncharacterized LOC726696
LOC726697	coiled-coil domain-containing protein 137
LOC726698	serine protease snake
LOC726699	uncharacterized LOC726699
LOC726703	venom acid phosphatase Acph-1
LOC726706	F-box/LRR-repeat protein 7
LOC726708	F-box only protein 28
LOC726709	uncharacterized LOC726709
LOC726711	ribonuclease H2 subunit C
LOC726713	tumor protein p63-regulated gene 1-like protein
LOC726718	rhomboid-related protein 4-like
LOC726720	U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein
LOC726721	protein transport protein Sec61 subunit gamma
LOC726722	uncharacterized LOC726722
LOC726723	neogenin
LOC726724	transient receptor potential channel pyrexia
LOC726725	pro-resilin
LOC726726	serine/arginine repetitive matrix protein 1-like
LOC726727	ecotropic viral integration site 5 ortholog-like
LOC726728	anaphase-promoting complex subunit 1
LOC726729	helix-loop-helix protein 11
LOC726731	"probable 28S ribosomal protein S26, mitochondrial"
LOC726733	cysteine-rich protein 1-like
LOC726735	uncharacterized LOC726735
LOC726736	laminin subunit beta-1
LOC726737	venom acid phosphatase Acph-1-like
LOC726739	uncharacterized LOC726739
LOC726740	ubiquitin-conjugating enzyme E2 T-like
LOC726742	chromosome transmission fidelity protein 18 homolog
LOC726743	doublesex- and mab-3-related transcription factor A2
LOC726745	histone RNA hairpin-binding protein
LOC726746	"HIG1 domain family member 2A, mitochondrial"
LOC726747	cytochrome b-c1 complex subunit 8
LOC726748	uncharacterized LOC726748
LOC726750	fibroin heavy chain
LOC726752	Bloom syndrome protein homolog
LOC726754	kynurenine formamidase
LOC726755	pyrokinin-like receptor 2
LOC726756	craniofacial development protein 1
LOC726757	replication protein A 14 kDa subunit-like
LOC726758	uncharacterized LOC726758
LOC726759	partitioning defective 3 homolog
LOC726760	uncharacterized LOC726760
LOC726761	paired box protein Pax-2a-like
LOC726762	facilitated trehalose transporter Tret1-like
LOC726765	IQ and AAA domain-containing protein 1
LOC726766	endoribonuclease Dicer
LOC726768	ATP-dependent RNA helicase dbp2-like
LOC726769	uncharacterized AAA domain-containing protein YrvN-like
LOC726770	caskin-1-like
LOC726771	WD repeat-containing protein mio-B
LOC726776	uncharacterized aarF domain-containing protein kinase 2-like
LOC726778	pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16
LOC726779	"39S ribosomal protein L33, mitochondrial"
LOC726780	transcriptional protein SWT1
LOC726781	ubiquitin-like-conjugating enzyme ATG10
LOC726782	PEST proteolytic signal-containing nuclear protein-like
LOC726783	vitellogenin-like
LOC726784	sphingosine-1-phosphate phosphatase 1-like
LOC726786	proton-coupled amino acid transporter 1
LOC726788	protein TSSC4
LOC726789	40S ribosomal protein S26
LOC726790	uncharacterized LOC726790
LOC726791	intraflagellar transport protein 140 homolog
LOC726792	pickpocket protein 28
LOC726793	uncharacterized LOC726793
LOC726796	hydrocephalus-inducing protein homolog
LOC726798	sn1-specific diacylglycerol lipase beta
LOC726800	probable RNA polymerase II nuclear localization protein SLC7A6OS
LOC726801	peroxisomal N(1)-acetyl-spermine/spermidine oxidase
LOC726802	protein aveugle
LOC726803	uncharacterized LOC726803
LOC726804	protein BTG2-like
LOC726806	ataxin-10
LOC726810	radial spoke head 1 homolog
LOC726811	protein-lysine N-methyltransferase EEF2KMT
LOC726812	RNA polymerase I-specific transcription initiation factor RRN3
LOC726814	"solute carrier family 2, facilitated glucose transporter member 1-like"
LOC726815	uncharacterized protein At4g17910
LOC726816	ruvB-like 2
LOC726817	pancreatic triacylglycerol lipase-like
LOC726818	beta-hexosaminidase subunit beta-like
LOC726819	ATP-dependent RNA helicase DDX51
LOC726822	geranylgeranyl transferase type-2 subunit beta
LOC726823	glutathione S-transferase omega-1
LOC726824	putative inositol monophosphatase 3
LOC726825	homeobox protein HMX2-like
LOC726826	peptidyl-prolyl cis-trans isomerase cyp11
LOC726827	coiled-coil domain-containing protein 170
LOC726828	SPRY domain-containing SOCS box protein 3-like
LOC726829	uncharacterized LOC726829
LOC726832	uncharacterized LOC726832
LOC726833	TOM1-like protein 2
LOC726834	uncharacterized LOC726834
LOC726836	derlin-1-like
LOC726838	"probable malate dehydrogenase, mitochondrial"
LOC726839	facilitated trehalose transporter Tret1-like
LOC726840	BET1 homolog
LOC726841	focadhesin
LOC726842	optomotor-blind protein-like
LOC726850	cytochrome b5-like
LOC726852	cytochrome b5 domain-containing protein 1
LOC726853	protein scarlet
LOC726854	putative ankyrin repeat protein RF_0381
LOC726855	vegetative cell wall protein gp1-like
LOC726857	MORN repeat-containing protein 3-like
LOC726859	farnesyl pyrophosphate synthase-like
LOC726860	cytochrome b5-like
LOC726861	myosuppressin
LOC726862	DNA repair protein REV1
LOC726863	sulfotransferase family cytosolic 1B member 1-like
LOC726864	uncharacterized LOC726864
LOC726865	cysteine-rich with EGF-like domain protein 2
LOC726866	uncharacterized LOC726866
LOC726867	"ATP-binding cassette sub-family B member 6, mitochondrial"
LOC726868	uncharacterized LOC726868
LOC726869	transmembrane protein 209
LOC726870	zinc finger CCHC domain-containing protein 8 homolog
LOC726871	synaptic vesicle glycoprotein 2B
LOC726872	LDLR chaperone boca
LOC726874	"ribonuclease Z, mitochondrial"
LOC726875	C2 domain-containing protein 5
LOC726879	uncharacterized LOC726879
LOC726880	pancreatic lipase-related protein 2-like
LOC726883	CD109 antigen
LOC726884	uncharacterized LOC726884
LOC726886	uncharacterized LOC726886
LOC726887	ras-related protein Rab-32
LOC726888	codanin-1
LOC726890	carbonic anhydrase 2-like
LOC726891	uncharacterized LOC726891
LOC726894	membrane magnesium transporter 1
LOC726895	uncharacterized protein C1orf112 homolog
LOC726896	zinc finger and BTB domain-containing protein 47-like
LOC726898	carbonic anhydrase 3
LOC726899	death-associated inhibitor of apoptosis 1-like
LOC726900	proteasome assembly chaperone 2-like
LOC726902	MICOS complex subunit Mic10-like
LOC726903	uncharacterized LOC726903
LOC726904	NF-X1-type zinc finger protein NFXL1
LOC726905	cilia- and flagella-associated protein 61-like
LOC726906	uncharacterized LOC726906
LOC726908	vacuolar protein sorting-associated protein 13A
LOC726911	"threonine--tRNA ligase, cytoplasmic-like"
LOC726912	"cell division cycle 20.4, cofactor of APC complex"
LOC726913	cytochrome b5-like
LOC726914	myb-like protein A
LOC726915	leucine-rich repeat and death domain-containing protein 1-like
LOC726916	zinc finger protein 91-like
LOC726918	uncharacterized LOC726918
LOC726920	uncharacterized LOC726920
LOC726922	acyl-CoA-binding domain-containing protein 4
LOC726923	DNA polymerase epsilon subunit 3
LOC726924	synapse-associated protein 1
LOC726925	uncharacterized LOC726925
LOC726926	SWI/SNF complex subunit SMARCC2-like
LOC726928	ras guanine nucleotide exchange factor Y-like
LOC726929	protein hedgehog-like
LOC726932	odorant receptor 47a-like
LOC726934	PI-PLC X domain-containing protein 1
LOC726935	cardioacceleratory peptide receptor
LOC726936	protein rhomboid
LOC726937	pupal cuticle protein C1B-like
LOC726941	ATP-binding cassette sub-family A member 2-like
LOC726944	ATP-binding cassette sub-family G member 4
LOC726947	TGF-beta-activated kinase 1 and MAP3K7-binding protein 3
LOC726948	suppressor of lurcher protein 1
LOC726949	uncharacterized LOC726949
LOC726950	pupal cuticle protein 20
LOC726952	ER degradation-enhancing alpha-mannosidase-like protein 2
LOC726953	secretin receptor-like
LOC726955	rhythmically expressed gene 2 protein-like
LOC726956	Golgi membrane protein 1-like
LOC726957	SAP30-binding protein
LOC726958	tumor necrosis factor receptor superfamily member wengen
LOC726959	protein unc-80 homolog
LOC726961	testis-expressed sequence 10 protein homolog
LOC726962	trafficking protein particle complex subunit 1
LOC726963	meiotic recombination protein SPO11
LOC726964	uncharacterized LOC726964
LOC726965	uncharacterized LOC726965
LOC726966	angiotensin-converting enzyme-like
LOC726969	farnesyl pyrophosphate synthase-like
LOC726972	uncharacterized LOC726972
LOC726977	prostaglandin E synthase 2
LOC726978	homeodomain-only protein-like
LOC726979	uncharacterized LOC726979
LOC726980	uncharacterized LOC726980
LOC726981	circadian clock-controlled protein
LOC726983	geranylgeranyl transferase type-2 subunit alpha
LOC726984	GDP-fucose protein O-fucosyltransferase 1-like
LOC726985	PH-interacting protein-like
LOC726987	uncharacterized LOC726987
LOC726989	E3 ubiquitin-protein ligase listerin
LOC726990	uncharacterized LOC726990
LOC726991	kinesin light chain
LOC726993	cytohesin-1
LOC726995	endocuticle structural glycoprotein ABD-4
LOC726997	MOXD1 homolog 1
LOC726999	iroquois-class homeodomain protein IRX-6-like
LOC727000	protein sprint
LOC727001	solute carrier family 35 member C2-like
LOC727004	putative glutathione-specific gamma-glutamylcyclotransferase 2
LOC727007	alpha-tocopherol transfer protein-like
LOC727008	probable ATP-dependent RNA helicase DDX46
LOC727009	cytoplasmic tRNA 2-thiolation protein 2
LOC727010	circadian clock-controlled protein-like
LOC727012	reactive oxygen species modulator 1
LOC727014	"39S ribosomal protein L40, mitochondrial"
LOC727015	RWD domain-containing protein 2A
LOC727019	uncharacterized LOC727019
LOC727021	protein takeout-like
LOC727022	RNA polymerase II-associated protein 3
LOC727023	transcription initiation factor TFIID subunit 9
LOC727025	"DNA-directed RNA polymerases I, II, and III subunit RPABC4"
LOC727026	cytochrome c oxidase copper chaperone
LOC727027	cleft lip and palate transmembrane protein 1 homolog
LOC727028	uncharacterized LOC727028
LOC727029	26S proteasome non-ATPase regulatory subunit 1
LOC727030	myotubularin-related protein 8
LOC727031	vacuolar protein sorting-associated protein 45
LOC727035	paired box pox-neuro protein
LOC727037	phospholipase A1 member A-like
LOC727038	myosin heavy chain 95F
LOC727045	major royal jelly protein 3-like
LOC727048	methyltransferase-like protein 22
LOC727049	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2
LOC727050	"phosphatidylserine decarboxylase proenzyme, mitochondrial"
LOC727052	uncharacterized LOC727052
LOC727055	"28S ribosomal protein S31, mitochondrial"
LOC727071	"acylglycerol kinase, mitochondrial"
LOC727074	signal peptidase complex subunit 3
LOC727078	phospholipid phosphatase 3-like
LOC727079	fibroblast growth factor receptor substrate 2
LOC727081	uncharacterized LOC727081
LOC727084	neuronal calcium sensor 2-like
LOC727085	zinc finger protein 431-like
LOC727087	serine/arginine-rich splicing factor 7
LOC727090	putative phosphatidate phosphatase
LOC727091	forkhead box protein O
LOC727092	protein nubbin-like
LOC727096	Down syndrome cell adhesion molecule-like protein Dscam2
LOC727101	protein decapentaplegic
LOC727106	heterogeneous nuclear ribonucleoprotein H
LOC727108	rho GTPase-activating protein 26
LOC727110	yellow-x2
LOC727111	peptidyl-prolyl cis-trans isomerase E-like
LOC727113	probable ATP-dependent RNA helicase spindle-E
LOC727116	uncharacterized LOC727116
LOC727118	"cytochrome P450 302a1, mitochondrial"
LOC727119	uncharacterized LOC727119
LOC727121	uncharacterized LOC727121
LOC727122	"methyltransferase-like protein 17, mitochondrial"
LOC727126	uncharacterized LOC727126
LOC727127	NK-tumor recognition protein-like
LOC727128	60S ribosomal protein L34
LOC727129	uncharacterized LOC727129
LOC727130	progestin and adipoQ receptor family member 4
LOC727131	spidroin-2-like
LOC727135	uncharacterized LOC727135
LOC727136	uncharacterized LOC727136
LOC727137	protein TANC2-like
LOC727140	zinc finger protein 830
LOC727141	IST1 homolog
LOC727142	uncharacterized protein C9orf85 homolog
LOC727144	tether containing UBX domain for GLUT4
LOC727145	apidermin-like
LOC727146	sphingomyelin phosphodiesterase
LOC727147	uncharacterized AAA domain-containing protein YrvN-like
LOC727150	uncharacterized LOC727150
LOC727151	tetratricopeptide repeat protein 12-like
LOC727153	"fructose-1,6-bisphosphatase 1"
LOC727154	polypeptide N-acetylgalactosaminyltransferase 5-like
LOC727156	vesicle transport protein USE1
LOC727157	pro-resilin
LOC727159	restin homolog
LOC727163	uncharacterized LOC727163
LOC727164	eukaryotic translation initiation factor 3 subunit F-like
LOC727165	flocculation protein FLO11-like
LOC727166	acyl-CoA Delta(11) desaturase-like
LOC727168	"1,4-alpha-glucan-branching enzyme"
LOC727170	protein bfr2
LOC727172	"39S ribosomal protein L50, mitochondrial"
LOC727173	pancreatic triacylglycerol lipase
LOC727174	nucleolar protein 11
LOC727178	adenylate kinase-like
LOC727180	Fanconi anemia group D2 protein
LOC727185	serine/threonine-protein kinase SMG1
LOC727186	dolichol-phosphate mannosyltransferase subunit 3
LOC727189	geranylgeranyl pyrophosphate synthase
LOC727192	structural maintenance of chromosomes protein 6
LOC727193	lipase member H-A-like
LOC727199	probable NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12
LOC727200	nucleolar protein 10-like
LOC727202	carbohydrate sulfotransferase 11
LOC727205	general transcription factor 3C polypeptide 5
LOC727210	"single-stranded DNA-binding protein, mitochondrial"
LOC727212	succinate dehydrogenase [ubiquinone] iron-sulfur subunit
LOC727218	eukaryotic translation initiation factor 3 subunit F
LOC727220	esterase SG1-like
LOC727221	vacuolar protein sorting-associated protein 13A
LOC727222	serine/threonine-protein phosphatase 4 regulatory subunit 2
LOC727223	uncharacterized LOC727223
LOC727227	epidermal growth factor receptor substrate 15-like 1
LOC727228	conserved oligomeric Golgi complex subunit 1
LOC727229	protein HIRA homolog
LOC727230	eukaryotic translation initiation factor 4E transporter
LOC727231	superoxide dismutase [Fe]-like
LOC727232	uncharacterized LOC727232
LOC727234	cytidine deaminase-like
LOC727235	protein enabled
LOC727236	uncharacterized protein CG5098
LOC727237	carbonic anhydrase 2-like
LOC727238	histone-lysine N-methyltransferase ash1
LOC727239	uncharacterized LOC727239
LOC727241	uncharacterized LOC727241
LOC727243	uncharacterized LOC727243
LOC727246	protein spire
LOC727247	non-structural maintenance of chromosomes element 1 homolog
LOC727248	bestrophin-2-like
LOC727249	calcium/calmodulin-dependent protein kinase type 1
LOC727251	DNA polymerase delta small subunit-like
LOC727254	mitochondrial cardiolipin hydrolase
LOC727257	peroxisomal membrane protein PEX13
LOC727260	uncharacterized LOC727260
LOC727261	protein odr-4 homolog
LOC727262	derlin-1-like
LOC727263	chromobox protein homolog 5
LOC727266	uncharacterized LOC727266
LOC727267	tektin-B1
LOC727268	protein unc-80 homolog
LOC727269	zinc finger protein 271
LOC727271	fatty-acid amide hydrolase 2-A-like
LOC727272	zinc finger CCCH domain-containing protein 3
LOC727273	uncharacterized LOC727273
LOC727275	proliferating cell nuclear antigen
LOC727277	LETM1 domain-containing protein 1
LOC727278	ectopic P granules protein 5 homolog
LOC727280	uncharacterized LOC727280
LOC727282	nudix hydrolase 8
LOC727284	transcription factor Sox-10-like
LOC727285	zinc finger protein 227-like
LOC727287	transcription factor Sox-7-like
LOC727288	RNA-binding protein NOB1
LOC727290	probable cytochrome P450 303a1
LOC727291	chitin synthase 6
LOC727293	guanine deaminase
LOC727294	protein chibby homolog 1
LOC727298	intraflagellar transport protein 122 homolog
LOC727299	uncharacterized LOC727299
LOC727300	low molecular weight phosphotyrosine protein phosphatase-like
LOC727301	ribosomal RNA large subunit methyltransferase E-like
LOC727302	prominin-1-A
LOC727303	probable methyltransferase BTM2 homolog
LOC727306	bolA-like protein 3
LOC727307	multidrug resistance-associated protein 1
LOC727308	ephrin-B1-like
LOC727309	glutaredoxin-C4
LOC727310	putative sodium-coupled neutral amino acid transporter 7
LOC727311	band 7 protein AGAP004871
LOC727312	Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1
LOC727313	uncharacterized LOC727313
LOC727315	pantothenate synthetase-like
LOC727319	protein winged eye-like
LOC727320	U3 small nucleolar RNA-associated protein 18 homolog
LOC727322	sodium- and chloride-dependent GABA transporter 1-like
LOC727324	prolactin-releasing peptide receptor-like
LOC727325	serine acetyltransferase
LOC727326	cysteine and histidine-rich domain-containing protein-like
LOC727331	sorting nexin-25-like
LOC727332	protein BUD31 homolog
LOC727333	acyl-CoA Delta(11) desaturase-like
LOC727334	selenium-binding protein 1-like
LOC727335	inhibin beta chain
LOC727338	sarcospan-like
LOC727342	glutamine synthetase 2 cytoplasmic-like
LOC727344	uncharacterized LOC727344
LOC727346	"glutamate receptor ionotropic, delta-1"
LOC727349	RNA-binding protein 1
LOC727350	ceramide synthase 6
LOC727354	vacuolar protein sorting-associated protein VTA1 homolog
LOC727357	fatty acid hydroxylase domain-containing protein 2-like
LOC727358	"beta-1,4-glucuronyltransferase 1-like"
LOC727363	mediator of RNA polymerase II transcription subunit 15-like
LOC727367	"glucose dehydrogenase [FAD, quinone]-like"
LOC727368	unconventional myosin-IXb-like
LOC727370	uncharacterized LOC727370
LOC727375	ankyrin repeat and MYND domain-containing protein 2
LOC727377	lipid A export ATP-binding/permease protein MsbA-like
